  economy_id theta_n theta
           1           1   3.5265805889608899     
           1           2  -2.0720120226153802     
           1           3 -0.27152048912769999     
           1           4  0.55168592105296299     
           1           5  -7.1790341759027904E-002
           1           6 -0.38090578624051202     
           1           7  0.52906878844620298     
           1           8 -0.12887978275013201     
           1           9   2.0934960614102800     
           1          10   5.3715105211041996     
           1          11  0.81029377021673199     
           1          12   7.1236515090867698     
           1          13 -0.69407532463088895     
           1          14  -2.6004517007167500     
           1          15  -5.4966231791896902     
           1          16  -5.8882824314572604     
           1          17  -7.1814683062315199     
           1          18  0.81429729184602695     
           1          19   29.549215797854099     
           1          20   11.132581278192500     
           1          21  0.25000000000000000     
           1          22 -0.10000000000000001     
           1          23   33.465349575710690     
           1          24   23.193574306401651     
           1          25   40.237915939412389     
           1          26   44.277582239812403     
           1          27   48.214836013542879     
           1          28   55.879679444703527     
           1          29   5.7152215721966328     
           1          30   52.409887045728055     
           1          31   39.212647461261938     
           1          32   118.72560591219258     
           1          33  -2.9209543471531121E-002
           1          34   13.467328312937346     
           1          35   15.392980069453825     
           1          36   23.545112952413188     
           1          37   28.059245142443363     
           1          38   37.431304537485182     
           1          39   44.893492707533859     
           1          40   22.723698395636518     
           1          41  -188.82555408940320     
           1          42   89.383604545122722     
           1          43  -2405.0157009759191     
           1          44   480.22137666170511     
           1          45  -71.414626185898911     
           1          46  -15.007408600833855     
           1          47   3115.9917428176473     
           1          48   554.99861146126659     
           1          49   102.82373769778778     
           1          50   63.460393062773470     
           1          51   9.9633749901542057     
           1          52   78.761185250830863     
           1          53   16.554996550297798     
           1          54   7.7795231541767249     
           1          55   94.791779442077797     
           1          56   46.867135157006096     
           1          57  0.53969139239490438     
           1          58   72.241202946659612     
           1          59   25.450312391362296     
           1          60   5.3758282034205882     
           1          61   1463.6671358338590     
           1          62  -3.3793862196755155E-002
           2           1   3.5542534536368500     
           2           2  -2.0199893451223399     
           2           3 -0.26401020774121398     
           2           4  0.36102630462769503     
           2           5  -7.0025965852090200E-002
           2           6 -0.29891523778390700     
           2           7  0.53684293378919301     
           2           8 -0.12448207410925401     
           2           9   2.1440566061819202     
           2          10   8.9540309328428993     
           2          11  0.82608370295087397     
           2          12   7.2624678029845802     
           2          13 -0.67625252557738202     
           2          14  -2.5221903630404401     
           2          15  -6.5592804033637497     
           2          16  -5.7688219693713600     
           2          17  -7.0793387161058003     
           2          18  0.83016523991182900     
           2          19   30.125031812914902     
           2          20   11.349518290423299     
           2          21  0.25000000000000000     
           2          22 -0.10000000000000001     
           2          23   33.436974110864703     
           2          24   37.159444419882000     
           2          25   39.759542233865801     
           2          26   43.700751016239899     
           2          27   49.340958846815603     
           2          28   54.865428090413801     
           2          29   6.2147779935254999     
           2          30   50.682286775542202     
           2          31   34.302443283106001     
           2          32   115.18490647658700     
           2          33  -5.5916990253445799E-002
           2          34   17.026651045560701     
           2          35   20.359114423984000     
           2          36   21.532458995413599     
           2          37   30.659473164538600     
           2          38   39.017491085010299     
           2          39   48.854422582204101     
           2          40   24.470714832214600     
           2          41  -170.40798706631909     
           2          42   75.852534655127002     
           2          43  -3502.0171557475501     
           2          44   541.23033024090205     
           2          45  -2.3302338488866901     
           2          46   2.6914640989477698     
           2          47   3299.4232973204098     
           2          48   607.63387674017497     
           2          49   228.77298241763600     
           2          50   70.700120509149997     
           2          51   8.3869413341323700     
           2          52   109.66736497408399     
           2          53   37.289471438187697     
           2          54   8.1951272081622495     
           2          55   72.952319370881895     
           2          56   55.040317094788797     
           2          57   1.1612761668684100     
           2          58   103.58178404560000     
           2          59   22.243110515983300     
           2          60   11.260352548696700     
           2          61   1577.6555879277300     
           2          62  -3.0187965170345200E-002
