  economy_id theta_n theta
           1           1   2.7170897940043401     
           1           2  -1.4155681826447000     
           1           3 -0.14171389774010101     
           1           4   4.3414465806212297     
           1           5  -1.1411167750045299     
           1           6 -0.83007333367660785     
           1           7  0.76003725731203697     
           1           8 -0.29786675174711402     
           1           9   23.569672002628501     
           1          10   3.3875642709942402     
           1          11  0.39257662066942800     
           1          12   1.6937090350501600     
           1          13 -0.94366379905648401     
           1          14 -0.26096536885985400     
           1          15  -1.0549728790624400     
           1          16  -3.1240029201509518     
           1          17  -2.8744161113771205     
           1          18  0.39239771277676300     
           1          19   11.008520742313200     
           1          20   1.5922916687655500     
           1          21  0.25000000000000000     
           1          22 -0.10000000000000001     
           1          23   34.624576191971698     
           1          24   36.795976057322903     
           1          25   39.187128965954699     
           1          26   43.189869007774902     
           1          27   49.005422716550598     
           1          28   54.780631764465497     
           1          29   5.8592158426408396     
           1          30   47.460887677652998     
           1          31   40.332525310927998     
           1          32   79.597590807418698     
           1          33   0.0000000000000000     
           1          34   15.478092914135701     
           1          35   13.764690316138701     
           1          36   17.642193282305598     
           1          37   25.286600378907501     
           1          38   35.877289496195800     
           1          39   44.006809648858400     
           1          40   19.585258072810099     
           1          41  -134.73528161812453     
           1          42   48.808163821968698     
           1          43  -513.30026711329594     
           1          44   735.56298582612703     
           1          45  -139.01308911161200     
           1          46  -47.036688938843000     
           1          47   4274.4295097994500     
           1          48   864.40270361858302     
           1          49   252.92791554534000     
           1          50   141.42488793432400     
           1          51   12.259444888997500     
           1          52   210.58295984332901     
           1          53   92.333200231376594     
           1          54   12.970942936614300     
           1          55   176.93926839844301     
           1          56   109.36641606031600     
           1          57   2.0754567683210698     
           1          58   164.82372359984001     
           1          59   86.648432889376394     
           1          60   7.2213891813769404     
           1          61   1056.1310989384899     
           1          62   0.0000000000000000     
           2           1   1.6542675935116000     
           2           2  -1.4891907428641900     
           2           3 -0.24725212380010300     
           2           4   1.9372333106519000     
           2           5 -0.15693220352347001     
           2           6 -0.24243795058416501     
           2           7  0.99982671211054552     
           2           8 -0.32525962569322198     
           2           9   5.9881373776851499     
           2          10   3.4517871573970300     
           2          11  0.14616146511642100     
           2          12   3.0448010079627501     
           2          13 -0.74199563401628399     
           2          14  -2.0842205869818198     
           2          15  -2.6945734934607701     
           2          16  -4.1998347117663002     
           2          17  -3.3076464366764133     
           2          18   1.4711953581132000     
           2          19   34.233459272186103     
           2          20   10.641706404285401     
           2          21  0.25000000000000000     
           2          22 -0.10000000000000001     
           2          23   34.232760542371075     
           2          24   17.818635055154743     
           2          25   38.704093365548360     
           2          26   42.670877050226913     
           2          27   48.107054936798995     
           2          28   60.698195588766382     
           2          29   5.8204038495575920     
           2          30   49.899583769130828     
           2          31   36.776100030775154     
           2          32   71.577369114581117     
           2          33   1.8811523437500005E-002
           2          34   14.412560107804669     
           2          35   12.783092262024589     
           2          36   17.220946635396412     
           2          37   22.972199630031277     
           2          38   31.818370997603449     
           2          39   36.574628888396468     
           2          40   20.917423805536711     
           2          41  -241.31179875071058     
           2          42   106.58640823111459     
           2          43  -876.23209424189429     
           2          44   786.89777764067435     
           2          45  -64.045548798106211     
           2          46  -9.5452657852648954     
           2          47   3983.6327717525614     
           2          48   605.75293888404860     
           2          49   170.76432860725214     
           2          50   99.609148719480217     
           2          51   10.497118255739219     
           2          52   188.50325843095473     
           2          53   78.854822214237274     
           2          54   9.1879311262364016     
           2          55   133.05858826543971     
           2          56   74.360265895648041     
           2          57   2.3488549971538437     
           2          58   143.68752946284187     
           2          59   64.421055841355368     
           2          60   6.3804303258198818     
           2          61   1099.7096766499424     
           2          62   1.8811523437500005E-002
