  economy_id theta_n theta
           1           1   3.2311936355726401     
           1           2  -1.9410288358457299     
           1           3 -0.25092258937008999     
           1           4  0.57393136957227697     
           1           5  -6.5725600780824497E-002
           1           6 -0.34618960830200501     
           1           7  0.53384029910923403     
           1           8  -9.4976306359107504E-002
           1           9   2.7189974907001901     
           1          10   5.9865150189209198     
           1          11  0.91614696379892102     
           1          12   8.0063979907425704     
           1          13 -0.64859364405808295     
           1          14  -5.3034395002992403     
           1          15  -5.8011493248717896     
           1          16  -6.1936895140724504     
           1          17  -7.3569424685028899     
           1          18   1.1961865766507500     
           1          19   33.338675164479199     
           1          20   13.161079785858700     
           1          21  0.25000000000000000     
           1          22 -0.10000000000000001     
           1          23   33.948512724549403     
           1          24   36.778382638715101     
           1          25   39.173343403320203     
           1          26   43.142914653982601     
           1          27   48.864905925400898     
           1          28   54.538498884578097     
           1          29   5.7802703273369902     
           1          30   34.982010511410998     
           1          31   25.139614915687002     
           1          32   43.541360470507797     
           1          33   16.648148962243400     
           1          34   11.261348324332401     
           1          35   15.082077967894501     
           1          36   17.819022038243201     
           1          37   24.324618036094900     
           1          38   31.867174165286201     
           1          39   36.314446671773098     
           1          40   14.277945229415600     
           1          41  -185.01590722829499     
           1          42  -58.845448593852900     
           1          43  -924.79856684139099     
           1          44   727.52535775141303     
           1          45  -54.848617161750397     
           1          46  -19.988548903594801     
           1          47  -2903.2600906190701     
           1          48   1214.9693628842599     
           1          49   85.297283452937805     
           1          50   51.470501991417898     
           1          51   11.372720625157600     
           1          52   76.877520818900194     
           1          53   52.883062231067100     
           1          54   12.483622190282800     
           1          55   107.50606412711500     
           1          56   34.167417595517101     
           1          57   1.8096596771777500     
           1          58   88.555639203309298     
           1          59   23.302446889644902     
           1          60   6.9587549641172304     
           1          61   1683.8390722977463     
           1          62   485.96681998017800     
           2           1   3.0003164962858402     
           2           2  -2.0796096517727500     
           2           3 -0.16735013542524699     
           2           4  0.37931790569703899     
           2           5  -6.2087082329925602E-002
           2           6 -0.18360227539776000     
           2           7  0.48502437454933400     
           2           8  -8.0454059419033497E-002
           2           9   2.2851163592803601     
           2          10   9.5340627685625492     
           2          11  0.88655213219350903     
           2          12   8.0158105019158299     
           2          13 -0.68167361023075401     
           2          14  -4.6207320742366296     
           2          15  -5.7559568965149701     
           2          16  -6.1443915347093103     
           2          17  -6.8326104344305296     
           2          18  0.98561538864384202     
           2          19   32.771918296446501     
           2          20   13.482813303747699     
           2          21  0.25000000000000000     
           2          22 -0.10000000000000001     
           2          23   33.845095813864802     
           2          24   36.811437293581697     
           2          25   39.254941487425498     
           2          26   43.197238191986997     
           2          27   48.896141406411701     
           2          28   54.565505024896297     
           2          29   5.7639472045782103     
           2          30   39.736878417055003     
           2          31   28.045504144059699     
           2          32   43.732444194693201     
           2          33   18.490152593895800     
           2          34   11.770360959609100     
           2          35   16.878949972920999     
           2          36   20.418125284755099     
           2          37   25.048683098086300     
           2          38   32.291488279735397     
           2          39   38.370670826817900     
           2          40   15.224611634906200     
           2          41  -202.40648791881199     
           2          42  -78.605784979876802     
           2          43  -1038.6518542907500     
           2          44   813.72454910360500     
           2          45  -17.360132031369901     
           2          46   11.463914622346600     
           2          47  -3813.6873297404200     
           2          48   1224.8787659922800     
           2          49   114.76922515590699     
           2          50   44.680781086150603     
           2          51   12.141514413266300     
           2          52   108.73280715351299     
           2          53   85.557481540331096     
           2          54   12.388331090865400     
           2          55   91.170782954008700     
           2          56   33.391330698953801     
           2          57   2.4739267041962898     
           2          58   98.422727710385800     
           2          59   43.120495373807799     
           2          60   6.9390677997153203     
           2          61   1801.0997035947637     
           2          62   600.97516145119005     
